レースコード,レース日,レース場コード,レース回,1枠_登録番号,1枠_推定ST,1枠_推定ST_p25,1枠_推定ST_p75,2枠_登録番号,2枠_推定ST,2枠_推定ST_p25,2枠_推定ST_p75,3枠_登録番号,3枠_推定ST,3枠_推定ST_p25,3枠_推定ST_p75,4枠_登録番号,4枠_推定ST,4枠_推定ST_p25,4枠_推定ST_p75,5枠_登録番号,5枠_推定ST,5枠_推定ST_p25,5枠_推定ST_p75,6枠_登録番号,6枠_推定ST,6枠_推定ST_p25,6枠_推定ST_p75
202609131007,2026-09-13,10,07R,3805,0.1251,0.0926,0.1577,4203,0.1534,0.1161,0.1907,3968,0.1625,0.1215,0.2035,4589,0.1487,0.1074,0.19,4199,0.1409,0.1022,0.1795,3251,0.2007,0.1627,0.2387
202609131008,2026-09-13,10,08R,4139,0.1606,0.1148,0.2065,4950,0.1446,0.1098,0.1794,4233,0.1552,0.1135,0.1969,3967,0.2227,0.1546,0.2908,5141,0.1416,0.107,0.1761,4432,0.1464,0.1077,0.1852
202609131009,2026-09-13,10,09R,4429,0.17,0.132,0.2081,4694,0.1742,0.1312,0.2172,3746,0.1586,0.1239,0.1934,4953,0.1471,0.1119,0.1824,4931,0.1326,0.0976,0.1676,3156,0.1911,0.1488,0.2333
202609131010,2026-09-13,10,10R,5294,0.1485,0.1075,0.1895,3613,0.1395,0.1038,0.1752,3788,0.1222,0.0791,0.1652,3659,0.1667,0.1243,0.2091,3474,0.1725,0.1301,0.215,5029,0.1457,0.1079,0.1836
202609131011,2026-09-13,10,11R,3587,0.1578,0.1172,0.1984,5034,0.1209,0.0822,0.1597,3482,0.1395,0.1024,0.1766,3251,0.1843,0.1463,0.2223,5045,0.2013,0.1598,0.2427,3940,0.1512,0.1186,0.1838
202609131012,2026-09-13,10,12R,4199,0.1335,0.0948,0.1721,4155,0.1482,0.1121,0.1842,4842,0.1656,0.1268,0.2044,4930,0.1311,0.0922,0.17,3699,0.1881,0.1446,0.2315,4950,0.158,0.1232,0.1928
202609131101,2026-09-13,11,01R,4246,0.161,0.1234,0.1985,4766,0.1381,0.0976,0.1786,4747,0.1719,0.1352,0.2086,3797,0.19,0.1524,0.2276,3708,0.1547,0.1152,0.1942,4660,0.201,0.1564,0.2457
202609131102,2026-09-13,11,02R,4779,0.1412,0.0989,0.1836,5132,0.1386,0.1003,0.1768,4607,0.1476,0.1009,0.1944,4116,0.2,0.1595,0.2405,5170,0.143,0.103,0.1831,5410,0.1731,0.1323,0.2139
202609131103,2026-09-13,11,03R,4835,0.1323,0.0992,0.1655,4540,0.1334,0.0869,0.1798,4486,0.1718,0.1263,0.2173,3454,0.1467,0.1092,0.1841,3918,0.1623,0.124,0.2005,5011,0.1633,0.1194,0.2071
202609131104,2026-09-13,11,04R,4894,0.1582,0.1205,0.196,4111,0.1465,0.1034,0.1896,5278,0.1557,0.1112,0.2003,4380,0.1505,0.1024,0.1986,4786,0.1422,0.0956,0.1888,4186,0.1594,0.1159,0.2029
202609131105,2026-09-13,11,05R,3961,0.1545,0.115,0.1941,5055,0.14,0.0965,0.1834,3793,0.144,0.0955,0.1926,3441,0.1724,0.1281,0.2168,4012,0.1431,0.1026,0.1836,5472,0.2407,0.1881,0.2933
202609131106,2026-09-13,11,06R,3435,0.1428,0.1012,0.1844,3518,0.203,0.1461,0.2598,4183,0.1696,0.1268,0.2123,4974,0.1686,0.1338,0.2034,4246,0.1684,0.1308,0.2059,4947,0.1874,0.1455,0.2294
202609131107,2026-09-13,11,07R,4957,0.1462,0.1066,0.1859,4821,0.1699,0.1303,0.2095,4660,0.1816,0.137,0.2263,4983,0.1557,0.1177,0.1937,3896,0.1511,0.1109,0.1913,4124,0.1897,0.1466,0.2328
202609131108,2026-09-13,11,08R,4380,0.146,0.0979,0.1941,3454,0.1497,0.1122,0.1871,3905,0.1387,0.1012,0.1762,4766,0.1351,0.0946,0.1756,5032,0.1501,0.1071,0.1932,5410,0.1731,0.1323,0.2139
202609131109,2026-09-13,11,09R,4607,0.1461,0.0994,0.1929,3708,0.1548,0.1153,0.1943,5011,0.1439,0.1,0.1877,4216,0.1454,0.1077,0.1831,4254,0.1499,0.1086,0.1913,4111,0.1599,0.1168,0.203
202609131110,2026-09-13,11,10R,4486,0.1703,0.1248,0.2158,4012,0.1432,0.1027,0.1837,5170,0.1371,0.0971,0.1772,4108,0.1201,0.0821,0.158,3518,0.2029,0.146,0.2597,4747,0.1913,0.1546,0.228
202609131111,2026-09-13,11,11R,4786,0.1348,0.0882,0.1814,4974,0.1716,0.1368,0.2064,4116,0.197,0.1565,0.2375,5055,0.137,0.0935,0.1804,4821,0.1698,0.1302,0.2094,4540,0.1468,0.1003,0.1932
202609131112,2026-09-13,11,12R,4983,0.1512,0.1132,0.1892,3918,0.1624,0.1241,0.2006,3435,0.1443,0.1027,0.1859,3961,0.159,0.1195,0.1986,5132,0.1385,0.1002,0.1767,5278,0.1751,0.1306,0.2197
202609131201,2026-09-13,12,01R,3477,0.1763,0.1372,0.2153,3757,0.1624,0.1184,0.2063,5187,0.2097,0.1669,0.2524,4375,0.1512,0.1027,0.1998,3775,0.1699,0.1284,0.2113,4229,0.1855,0.1461,0.2249
202609131202,2026-09-13,12,02R,4875,0.1508,0.1078,0.1938,4060,0.1533,0.1172,0.1893,4898,0.1558,0.1074,0.2042,3955,0.174,0.1315,0.2165,4710,0.1252,0.0857,0.1647,4404,0.2142,0.1723,0.2562
202609131203,2026-09-13,12,03R,3558,0.1616,0.1174,0.2058,5093,0.1911,0.1468,0.2355,3957,0.1717,0.1321,0.2114,4794,0.1335,0.0972,0.1698,5009,0.1888,0.1434,0.2342,4962,0.1611,0.1248,0.1974
202609131204,2026-09-13,12,04R,4626,0.1943,0.1455,0.2432,4416,0.1741,0.1287,0.2196,5043,0.1217,0.0861,0.1574,3718,0.1658,0.124,0.2076,3630,0.1559,0.1145,0.1973,3654,0.158,0.1152,0.2007
